UID        PID  PPID  C STIME TTY          TIME CMD
root     15400 19785  0 Nov10 pts/3    00:00:00 sudo su -
root     15405 15400  0 Nov10 pts/3    00:00:00 su -
root     15406 15405  0 Nov10 pts/3    00:00:00 -bash
root     19779  2320  0 Nov09 ?        00:00:00 sshd: chrome [priv]
chrome   19784 19779  0 Nov09 ?        00:00:16 sshd: chrome@pts/3
chrome   19785 19784  0 Nov09 pts/3    00:00:00 -bash
root     22607   649  0 Nov09 ?        00:00:00 /sbin/udevd -d
root     22608   649  0 Nov09 ?        00:00:00 /sbin/udevd -d
postfix  25568  2478  0 15:03 ?        00:00:00 pickup -l -t fifo -u
root     26782     2  0 15:26 ?        00:00:00 [flush-253:2]
root     26872  2320 20 15:29 ?        00:00:21 sshd: root@notty 
root     26883 26872 81 15:29 ?        00:01:26 rsync --server -vlogDtpre.iLs . /home/biblioteca/bdigital/
root     26926 26883 27 15:29 ?        00:00:28 rsync --server -vlogDtpre.iLs . /home/biblioteca/bdigital/
zabbix   27031 14922  1 15:30 ?        00:00:00 ps -fea
root     28209  2320  0 Nov07 ?        00:00:00 sshd: chrome [priv]
chrome   28211 28209  0 Nov07 ?        00:21:38 sshd: chrome@pts/0
chrome   28212 28211  0 Nov07 pts/0    00:00:00 -bash
root     28278 28212  0 Nov07 pts/0    00:00:00 sudo su -
root     28282 28278  0 Nov07 pts/0    00:00:00 su -
root     28283 28282  0 Nov07 pts/0    00:00:25 -bash
root     32153     2  0 Oct30 ?        00:00:00 [scsi_eh_3]
root     32154     2  0 Oct30 ?        00:00:00 [vmw_pvscsi_wq_3]
